REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Region 7,2011,15,196,83,20092
Region 8,2011,15,331,85,42596
Region 9,2011,15,1456,232,75623
Region 10,2011,15,193,43,11600
Region 1,2011,16,390,150,44064
Region 2,2011,16,1626,131,98145
Region 3,2011,16,1121,188,94782
Region 4,2011,16,1606,352,134246
Region 5,2011,16,892,242,81470
Region 6,2011,16,1089,158,68638
Region 7,2011,16,148,83,19542
Region 8,2011,16,272,83,40639
Region 9,2011,16,1399,225,69631
Region 10,2011,16,152,39,11455
Region 1,2011,17,368,140,47550
Region 2,2011,17,1385,126,105051
Region 3,2011,17,907,179,94185
Region 4,2011,17,1516,347,133732
Region 5,2011,17,757,238,79084
Region 6,2011,17,1074,160,71440
Region 7,2011,17,116,76,17722
Region 8,2011,17,253,79,39901
Region 9,2011,17,1322,229,81235
Region 10,2011,17,132,38,11340
Region 1,2011,18,341,134,48145
Region 2,2011,18,1300,130,106412
Region 3,2011,18,936,186,97336
Region 4,2011,18,1399,341,121204
Region 5,2011,18,714,234,78708
Region 6,2011,18,1002,145,65517
Region 7,2011,18,84,75,17202
Region 8,2011,18,215,80,40144
Region 9,2011,18,1196,222,69814
Region 10,2011,18,120,38,11145
Region 1,2011,19,286,128,46821
Region 2,2011,19,1436,125,112079
Region 3,2011,19,936,182,98129
Region 4,2011,19,1331,336,119340
Region 5,2011,19,787,227,76515
Region 6,2011,19,987,147,66119
Region 7,2011,19,95,74,17562
Region 8,2011,19,186,80,38046
Region 9,2011,19,1096,219,67076
Region 10,2011,19,96,38,10296
Region 1,2011,20,274,122,44813
Region 2,2011,20,1237,123,103870
Region 3,2011,20,953,177,93775
Region 4,2011,20,1273,329,115871
Region 5,2011,20,616,216,68146
Region 6,2011,20,884,142,67625
Region 7,2011,20,91,76,15614
Region 8,2011,20,185,76,36733
Region 9,2011,20,907,220,64057
Region 10,2011,20,110,35,9981
Region 1,2011,21,294,112,40850
Region 2,2011,21,1439,110,103036
Region 3,2011,21,863,167,90192
Region 4,2011,21,1124,305,109444
Region 5,2011,21,529,207,64187
Region 6,2011,21,716,120,60728
Region 7,2011,21,73,62,12445
Region 8,2011,21,155,69,35361
Region 9,2011,21,794,198,60995
Region 10,2011,21,85,31,9222
Region 1,2011,22,247,104,33960
Region 2,2011,22,1282,112,100854
Region 3,2011,22,841,158,86527
Region 4,2011,22,1215,301,99879
Region 5,2011,22,675,204,59080
Region 6,2011,22,697,119,55562
Region 7,2011,22,25,65,9266
Region 8,2011,22,123,71,29732
Region 9,2011,22,747,195,49372
Region 10,2011,22,94,28,7722
Region 1,2011,23,294,100,43540
Region 2,2011,23,1263,107,100339
Region 3,2011,23,836,151,85494
Region 4,2011,23,1009,280,102025
Region 5,2011,23,531,204,65537
Region 6,2011,23,616,114,61169
Region 7,2011,23,26,58,9920
Region 8,2011,23,122,67,33281
Region 9,2011,23,769,187,54632
Region 10,2011,23,81,28,8385
Region 1,2011,24,246,98,37285
Region 2,2011,24,1181,106,97640
Region 3,2011,24,806,155,85877
Region 4,2011,24,848,274,97941
Region 5,2011,24,428,202,60454
Region 6,2011,24,673,108,56904
Region 7,2011,24,8,56,9092
Region 8,2011,24,116,66,33891
Region 9,2011,24,610,188,53351
Region 10,2011,24,73,26,6803
Region 1,2011,25,214,96,35738
Region 2,2011,25,1032,105,98094
Region 3,2011,25,653,147,80989
Region 4,2011,25,763,271,97052
Region 5,2011,25,424,193,60305
Region 6,2011,25,575,105,57781
Region 7,2011,25,24,54,8827
Region 8,2011,25,88,67,32015
Region 9,2011,25,592,187,54635
Region 10,2011,25,83,26,6920
Region 1,2011,26,187,93,33741
Region 2,2011,26,949,104,95960
Region 3,2011,26,633,152,79911
Region 4,2011,26,698,259,91215
Region 5,2011,26,506,191,58443
Region 6,2011,26,513,98,43239
Region 7,2011,26,8,57,9478
Region 8,2011,26,84,65,32695
Region 9,2011,26,567,179,54076
Region 10,2011,26,73,27,7974
Region 1,2011,27,183,93,29417
Region 2,2011,27,849,101,91572
Region 3,2011,27,636,154,81349
Region 4,2011,27,757,259,84960
Region 5,2011,27,485,183,47742
Region 6,2011,27,456,90,46067
